ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Feature_IDs,Glottolog_Languoid_Level,Family,Speaker_Area
angl1258,Anglo-Norman,,,,angl1258,,32 33,dialect,Indo-European,dialects
dith1234,Dithmarsch,,,,dith1234,,22,dialect,Indo-European,dialects
east2288,East Frisian Low Saxon,,52.9713,7.73549,east2288,,23,dialect,Indo-European,dialects
iris1255,Irish English,,,,iris1255,,5,dialect,Indo-European,dialects
jerr1238,Jerriais,,49.2123,-2.1325,jerr1238,,6,dialect,Indo-European,dialects
lang1337,Langues d'Oil,,,,lang1337,,27,dialect,Indo-European,dialects
midd1359,Middle Breton,,,,midd1359,,9,dialect,Indo-European,dialects
midd1360,Middle Irish (10-12th century),,,,midd1360,,14,dialect,Indo-European,dialects
midd1363,Middle Welsh,,,,midd1363,,16,dialect,Indo-European,dialects
midd1380,Middle Cornish,,,,midd1380,,10,dialect,Indo-European,dialects
norm1245,Normand,,49.081,-0.6591,norm1245,,27,dialect,Indo-European,dialects
nort2668,Northern Welsh,,,,nort2668,,28,dialect,Indo-European,dialects
oldd1238,Old Dutch,,,,oldd1238,,30,dialect,Indo-European,dialects
oldi1246,Old Irish (8-9th century),,,,oldi1246,,38,dialect,Indo-European,dialects
sout2673,Southern Welsh,,,,sout2673,,46,dialect,Indo-European,dialects
bret1244,Breton,,48.2452,-3.78934,bret1244,,1 9,language,Indo-European,languages
corn1251,Cornish,,50.5233,-4.18619,corn1251,,7 10,language,Indo-European,languages
dani1285,Danish,,54.8655,9.36284,dani1285,,2,language,Indo-European,languages
dutc1256,Dutch,,52.0,5.0,dutc1256,,18,language,Indo-European,languages
faro1244,Faroese,,62.0732,-6.88497,faro1244,,3,language,Indo-European,languages
icel1247,Icelandic,,63.4837,-19.0212,icel1247,,20,language,Indo-European,languages
iris1253,Irish,,53.2186,-7.61509,iris1253,,21,language,Indo-European,languages
manx1243,Manx,,54.2604,-4.45437,manx1243,,8,language,Indo-European,languages
midd1317,Middle English,,51.65,-1.11,midd1317,,12,language,Indo-European,languages
midd1318,Middle Low German,,53.14,9.67,midd1318,,15,language,Indo-European,languages
midd1321,Middle Dutch,,51.656,5.34,midd1321,,11,language,Indo-European,languages
midd1343,Middle High German,,48.254,10.599,midd1343,,13,language,Indo-European,languages
nort2626,Northern Frisian,,54.6409,8.58489,nort2626,,4,language,Indo-European,languages
nort2628,German Northern Low Saxon,,52.97134,8.36,nort2628,,22 23,language,Indo-European,languages
norw1258,Norwegian,,59.92,10.71,norw1258,,29,language,Indo-European,languages
oldd1237,Old Dutch-Old Frankish,,52.16,5.2,oldd1237,,30,language,Indo-European,languages
olde1238,Old English (ca. 450-1100),,51.06,-1.31,olde1238,,31,language,Indo-European,languages
oldf1239,Old French (842-ca. 1400),,48.8,1.11,oldf1239,,34 35,language,Indo-European,languages
oldf1241,Old Frisian,,53.35,6.8,oldf1241,,36,language,Indo-European,languages
oldh1241,Old High German (ca. 750-1050),,52.0,10.0,oldh1241,,37,language,Indo-European,languages
oldi1245,Early Irish,,53.0,-8.0,oldi1245,,14 38,language,Indo-European,languages
oldn1244,Old Norse,,63.42,10.38,oldn1244,,39 40,language,Indo-European,languages
olds1250,Old Saxon,,52.37,9.72,olds1250,,41,language,Indo-European,languages
oldw1239,Old-Middle Welsh,,52.582,-4.089,oldw1239,,16,language,Indo-European,languages
pica1241,Picard,,50.2831,3.25085,pica1241,,26 43,language,Indo-European,languages
scot1243,Scots,,55.886945,-3.710133,scot1243,,42 44,language,Indo-European,languages
scot1245,Scottish Gaelic,,56.7574,-5.24366,scot1245,,45,language,Indo-European,languages
stan1290,French,,48.0,2.0,stan1290,,6 24 27 32 33,language,Indo-European,languages
stan1293,English,,53.0,-1.0,stan1293,,5 17,language,Indo-European,languages
stan1295,German,,48.649,12.4676,stan1295,,19,language,Indo-European,languages
wels1247,Welsh,,52.0,-4.0,wels1247,,28 46,language,Indo-European,languages
indo1319,Indo-European,,,,indo1319,,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46,family,,families
